,DATE_TIME,REPLY_SIZE
9988,2015-12-21 17:20:11,3465
9989,2015-12-21 17:20:11,74434
9990,2015-12-21 17:20:11,43586
9991,2015-12-21 17:20:11,88161
9992,2015-12-21 17:20:11,94861
9993,2015-12-21 17:20:11,77796
9994,2015-12-21 17:20:11,43300
9995,2015-12-21 17:20:11,21490
9996,2015-12-21 17:20:11,55303
9997,2015-12-21 17:20:11,62918
9998,2015-12-21 17:20:12,68977
9999,2015-12-21 17:20:12,369
10000,2015-12-21 17:20:12,65225
10001,2015-12-21 17:20:12,57339
10002,2015-12-21 17:20:12,87782
10003,2015-12-21 17:20:12,39683
10004,2015-12-21 17:20:12,80637
10005,2015-12-21 17:20:12,5017
10006,2015-12-21 17:20:12,69
10007,2015-12-21 17:20:12,83
10008,2015-12-21 17:20:12,329961
10009,2015-12-21 17:20:40,7936
10010,2015-12-21 17:20:40,239
10011,2015-12-21 17:20:40,80510
10012,2015-12-21 17:20:47,7991
10013,2015-12-21 17:20:47,239
10014,2015-12-21 17:20:47,87352
10015,2015-12-21 17:20:53,32583
10016,2015-12-21 17:20:53,15063
10017,2015-12-21 17:20:53,1159
10018,2015-12-21 17:20:53,4431
10019,2015-12-21 17:20:53,605
10020,2015-12-21 17:20:53,3555
10021,2015-12-21 17:20:53,5401
10022,2015-12-21 17:20:53,5537
10023,2015-12-21 17:20:53,5649
10024,2015-12-21 17:20:53,5126
10025,2015-12-21 17:20:53,4726
10026,2015-12-21 17:20:53,4320
10027,2015-12-21 17:20:53,4451
10028,2015-12-21 17:20:53,4084
10029,2015-12-21 17:20:53,4758
10030,2015-12-21 17:20:53,5840
10031,2015-12-21 17:20:53,5062
10032,2015-12-21 17:20:53,4265
10033,2015-12-21 17:20:53,5095
10034,2015-12-21 17:20:53,3875
10035,2015-12-21 17:20:53,10588
10036,2015-12-21 17:20:53,239
10037,2015-12-21 17:20:53,1552
10038,2015-12-21 17:20:53,2901
10039,2015-12-21 17:20:53,4264
10040,2015-12-21 17:20:53,3830
10041,2015-12-21 17:20:53,4064
10042,2015-12-21 17:20:53,4268
10043,2015-12-21 17:20:53,27272
10044,2015-12-21 17:20:53,5236
10045,2015-12-21 17:20:53,3495
10046,2015-12-21 17:20:53,2337
10047,2015-12-21 17:20:53,8324
10048,2015-12-21 17:20:53,174
10049,2015-12-21 17:20:53,3208
10050,2015-12-21 17:20:53,255
10051,2015-12-21 17:20:53,248
10052,2015-12-21 17:20:53,211
10053,2015-12-21 17:20:53,155
10054,2015-12-21 17:20:53,237
10055,2015-12-21 17:22:48,10479
10056,2015-12-21 17:22:49,239
10057,2015-12-21 17:29:50,4263
10058,2015-12-21 17:29:51,4494
10059,2015-12-21 17:30:28,10479
10060,2015-12-21 17:30:47,242
10061,2015-12-21 17:33:20,10439
10062,2015-12-21 17:33:22,10439
10063,2015-12-21 17:33:24,10439
10064,2015-12-21 17:33:26,10439
10065,2015-12-21 17:36:40,242
10066,2015-12-21 17:42:11,10479
10067,2015-12-21 17:46:58,10439
10068,2015-12-21 17:47:02,10439
10069,2015-12-21 17:47:04,10439
10070,2015-12-21 17:47:07,10439
10071,2015-12-21 17:56:16,4263
10072,2015-12-21 17:56:20,4494
10073,2015-12-21 18:37:37,10439
10074,2015-12-21 18:37:37,1725
10075,2015-12-21 18:37:37,239
10076,2015-12-21 18:37:37,1963
10077,2015-12-21 18:37:37,10004
10078,2015-12-21 18:37:38,1801
10079,2015-12-21 18:37:39,1457
10080,2015-12-21 18:37:39,3465
10081,2015-12-21 18:37:39,4890
10082,2015-12-21 18:37:40,33472
10083,2015-12-21 18:37:53,64324
10084,2015-12-21 18:38:29,4263
10085,2015-12-21 18:38:30,4494
10086,2015-12-21 18:40:58,4263
10087,2015-12-21 18:40:58,4494
10088,2015-12-21 18:40:58,4263
10089,2015-12-21 18:42:17,10439
10090,2015-12-21 18:42:18,10439
10091,2015-12-21 18:43:16,235
10092,2015-12-21 18:58:56,10439
10093,2015-12-21 18:58:57,10439
10094,2015-12-21 19:02:39,304
10095,2015-12-21 19:02:41,9644
10096,2015-12-21 19:11:17,10439
10097,2015-12-21 19:14:20,4263
10098,2015-12-21 19:14:42,4494
10099,2015-12-21 19:28:40,304
10100,2015-12-21 19:28:46,232
10101,2015-12-21 19:48:55,4263
10102,2015-12-21 19:48:55,4494
10103,2015-12-21 19:59:24,304
10104,2015-12-21 19:59:32,9644
10105,2015-12-21 20:06:28,10479
10106,2015-12-21 20:17:26,4263
10107,2015-12-21 20:17:30,4494
10108,2015-12-21 20:51:02,4263
10109,2015-12-21 20:51:06,4494
10110,2015-12-21 21:20:52,10439
10111,2015-12-21 21:29:11,4263
10112,2015-12-21 21:29:12,4494
10113,2015-12-21 21:32:17,304
10114,2015-12-21 21:33:17,10479
10115,2015-12-21 21:47:15,4263
10116,2015-12-21 21:47:15,4494
10117,2015-12-21 21:47:15,4263
10118,2015-12-21 22:06:59,4263
10119,2015-12-21 22:06:59,4494
10120,2015-12-21 22:25:09,10479
10121,2015-12-21 22:37:45,304
10122,2015-12-21 22:41:08,4263
10123,2015-12-21 22:41:12,4494
10124,2015-12-21 22:49:34,10439
10125,2015-12-21 22:52:51,10439
10126,2015-12-21 22:52:52,10439
10127,2015-12-21 22:52:52,10439
10128,2015-12-21 22:52:52,10439
10129,2015-12-21 23:20:20,4263
10130,2015-12-21 23:20:21,4494
10131,2015-12-21 23:25:10,10439
10132,2015-12-21 23:25:11,1725
10133,2015-12-21 23:25:11,1963
10134,2015-12-21 23:25:11,239
10135,2015-12-21 23:25:11,10004
10136,2015-12-21 23:25:11,1801
